Batch_ID,Brew_Date,Beer_Style,SKU,Location,Fermentation_Time,Temperature,pH_Level,Gravity,Alcohol_Content,Bitterness,Color,Ingredient_Ratio,Volume_Produced,Total_Sales,Quality_Score,Brewhouse_Efficiency,Loss_During_Brewing,Loss_During_Fermentation,Loss_During_Bottling_Kegging
7769623,2020-01-03 15:59:34,Wheat Beer,Pints,Jayanagar,14,18.935179777191923,4.811967436014252,1.0410954116115503,5.863477015037932,54,11,1:0.38:0.28,745,5751.2459927163945,8.945429910602334,81.7003993744749,4.606380198969213,4.878129935156512,4.893318617735654
3461390,2020-01-03 20:39:41,Pilsner,Pints,Malleswaram,17,18.954499485219856,5.316346516279786,1.0336302659623535,5.869650358774808,56,5,1:0.31:0.27,3227,19300.38709205169,6.4942659573052826,88.04625162093126,2.9369671024777912,1.8440990781292865,2.784573136407989
2703136,2020-01-03 23:07:37,IPA,Kegs,Indiranagar,15,24.797175291777762,5.122346912515145,1.0465121687176049,4.658124815876199,35,12,1:0.22:0.20,1947,3506.4682538835414,9.381416916136233,79.78733120957645,2.755312013108569,3.189377356188765,2.9921865357684205
5689904,2020-01-04 21:06:54,Wheat Beer,Pints,Yelahanka,12,21.36464375496255,4.701387769049601,1.0451942119195605,4.6161881264623315,25,10,1:0.44:0.16,2617,16835.62758722385,7.020896381733097,89.24233676667619,1.5246677237407562,4.258581937507542,2.8609524945087323
7261148,2020-01-04 23:08:08,Wheat Beer,Bottles,Rajajinagar,13,18.413155405444797,5.300996141678251,1.0688903979913897,5.304617079197693,29,15,1:0.25:0.13,4958,1852.122378954958,8.790118527437626,88.35649692791809,3.885055604114449,4.136805982304453,4.626767416714861
4246382,2020-01-05 06:37:34,Lager,Cans,Jayanagar,14,15.08524233740136,5.255408509721931,1.0720671345357409,4.6693965344392385,51,9,1:0.42:0.23,580,13283.563615807863,8.751795709779788,85.7389420913112,1.506073267541661,2.388166129825401,2.378384469788328
2253120,2020-01-05 22:19:12,Lager,Cans,HSR Layout,10,19.509905017515536,5.203189611987666,1.0602978345462948,4.581597733782531,33,18,1:0.41:0.20,1785,1275.6591800057495,8.515140004162815,86.38023757489546,2.9057591608050792,1.2982902071728297,4.353202868451817
5738673,2020-01-06 00:11:10,Sour,Cans,Whitefield,13,24.1761434608986,4.995647839585786,1.0556296525747044,5.152681737444837,56,15,1:0.31:0.20,3393,18826.37430384345,8.050155957991496,79.26940988584505,3.935779851373647,2.938779362802811,4.71540368274237
8035789,2020-01-06 02:10:09,Porter,Kegs,HSR Layout,12,22.983518060885757,4.748279063733448,1.0409732034862433,5.349040728628338,28,11,1:0.48:0.26,2765,6842.869007986303,6.912709601880546,75.93898450152437,1.817703242865376,2.1309929692646903,3.3612713383536734
6493482,2020-01-06 02:19:36,Porter,Cans,Whitefield,16,19.338936146089868,4.894338824377447,1.038852813055029,4.931366201426035,43,18,1:0.40:0.22,1558,4573.190821788623,9.883803302101809,86.79604952509534,4.081530657404681,2.2212857335721488,2.2484539898032287
3531939,2020-01-06 03:03:15,Pilsner,Bottles,Malleswaram,15,22.887001740134245,5.13801603356546,1.0529160229618997,5.271625844132407,46,17,1:0.45:0.21,2605,3424.4403296870782,7.982163376668218,86.98715612570471,4.531503977346556,4.884967653688062,1.2126318849988107
1699463,2020-01-06 04:01:10,Lager,Pints,Electronic City,18,21.946716723256035,5.492389097457029,1.0435067785340293,4.9693436909474,42,14,1:0.31:0.17,1117,2112.0423570792154,9.95280740256336,70.17414800166924,3.2081607244390664,2.2399712508945595,4.797444304408117
8343262,2020-01-06 07:00:31,IPA,Cans,Marathahalli,13,24.719958721863794,4.628559383412564,1.0377476408656434,5.710273006222619,29,13,1:0.42:0.29,4523,15262.147786730984,6.855852085665242,73.31783224747399,3.958408842049758,2.7562639630472088,3.851833724916468
2679802,2020-01-06 22:28:26,IPA,Bottles,Whitefield,16,20.613276036612014,4.941370656409118,1.0384763570830495,5.685169674022286,29,16,1:0.35:0.24,625,3785.346358320055,9.257062840648416,83.82826337487188,3.4489777258164986,1.3533402415845477,2.1115041119981384
526301,2020-01-06 23:49:14,Porter,Pints,Whitefield,15,20.499183939167082,5.368186989387005,1.0332560592916513,5.077429210405441,21,7,1:0.34:0.22,3219,5749.230561913437,7.877620321785349,74.60011186122355,2.153533757873416,3.5990906185425016,1.442442434336325
8687800,2020-01-07 01:32:51,Lager,Cans,Jayanagar,19,24.086663253015676,4.626696424383941,1.0725231719340458,5.699921354512419,32,17,1:0.41:0.23,3458,17213.05931355398,7.994616235706083,79.40347654403075,1.767475349637687,4.965771837471262,1.9733535062164242
8072317,2020-01-07 06:06:54,Wheat Beer,Kegs,Marathahalli,19,16.508921409210483,4.887126845219727,1.0612887163326425,5.782869375464903,51,12,1:0.30:0.17,3008,19657.508934258276,6.448224423381353,73.4734312128505,1.9023506737494524,1.8894409584065963,1.6111749024632345
3546860,2020-01-07 10:31:15,IPA,Cans,Indiranagar,16,24.929771623945623,4.637002855076296,1.041636676324308,5.177971331753174,48,11,1:0.38:0.29,1981,11937.706104441844,9.278073936557645,81.7269733166109,4.022639280598396,1.32515161604536,3.318453479776138
5708916,2020-01-07 11:43:56,Pilsner,Kegs,Malleswaram,13,17.107320374290605,5.088143959076255,1.067527866847152,5.9675235438118435,29,7,1:0.31:0.18,3324,4394.144387249469,7.062710567392833,84.43590931244617,3.3392971204112016,2.826860952197864,3.3372469952484396
6792264,2020-01-07 14:08:36,Sour,Pints,Indiranagar,13,18.017583054158266,4.7661070674387815,1.0424287411796784,5.993083528886809,31,19,1:0.50:0.23,1461,9757.278962816958,9.619596467183738,87.45277177136077,1.0471996629867282,1.752977956222665,3.7403862933763885
4367526,2020-01-07 16:31:57,Ale,Bottles,Indiranagar,15,20.020701053856413,5.283838075403804,1.0435665821383397,5.907374183553723,56,13,1:0.37:0.29,783,11227.528137693784,6.9457898197597325,82.05063998557897,3.1010502879105055,3.631651211997866,2.5123914994088445
3628455,2020-01-07 16:40:38,Stout,Pints,Yelahanka,15,18.482006782661003,4.925139400951951,1.033533815687694,5.560275570365939,55,14,1:0.43:0.11,4557,10950.983048681293,7.569348545712313,88.81863584849009,4.297220035932538,1.60894608540112,4.586583965864799
6295305,2020-01-07 20:54:18,IPA,Bottles,Koramangala,11,19.57358167163907,5.150795493489859,1.038031836133812,5.217568232040573,50,7,1:0.38:0.11,3173,9125.015746326577,7.427231933539761,85.10589197524907,1.9048511845376015,1.5250334878463678,1.2295815410410933
3977107,2020-01-07 22:10:13,Pilsner,Pints,Marathahalli,13,17.340441931469435,4.926361739644082,1.0782118780389987,4.8726298634979415,31,17,1:0.32:0.15,2482,3338.757824186549,9.064229606627853,88.05373914552285,1.5878216152386004,1.2189573118829768,4.554771216018139
4933450,2020-01-08 02:11:32,Pilsner,Bottles,HSR Layout,17,21.583808141760592,4.846586882409836,1.065644686087442,5.834202785288957,32,10,1:0.24:0.12,1948,5597.651203562557,8.56572483727452,79.0602467989614,1.4875620765481172,4.449176421055434,2.167781210756652
293376,2020-01-08 03:26:29,Ale,Cans,Marathahalli,15,24.750512077704837,4.9153687235478385,1.0343714942129119,4.940625391522711,30,17,1:0.49:0.20,3075,1989.4471273760955,6.875843026848425,84.49780268702534,1.6935894728854435,2.0835700979197394,2.7240302171346737
8053278,2020-01-08 04:06:13,Lager,Pints,Malleswaram,11,19.689433483004397,4.675259992316608,1.0645253797502834,5.314430706395898,28,6,1:0.32:0.12,4982,15087.59577118195,6.228393751405433,79.60959978305793,2.306152331635675,3.732422034009589,1.6836639126046777
5118794,2020-01-08 06:33:35,Pilsner,Pints,Electronic City,10,15.853661592948763,5.378670559713284,1.0548707298826039,5.394657859813774,55,8,1:0.22:0.13,1019,2383.464305513038,6.563864643371387,71.46904284309856,3.6967313290527706,1.798934084788637,3.9193133213555846
2764134,2020-01-08 08:35:47,Sour,Pints,Koramangala,16,18.682417240088004,5.02482240639185,1.0344849570162988,5.594524450921334,47,7,1:0.41:0.29,1929,12598.251403148011,9.940662108473708,86.77813357598114,4.509375971947026,3.3137015086333137,1.2130508000249445
2770716,2020-01-08 10:37:43,Sour,Cans,Indiranagar,13,21.60578451877059,5.038138182303489,1.0354745904252587,5.9411119270724395,20,7,1:0.46:0.10,2772,9386.061461544577,9.551806495322017,87.87597284460801,2.132418636344181,3.908195707292571,1.589536833610543
4775171,2020-01-08 11:32:57,IPA,Pints,Whitefield,10,18.497621848796236,4.892780589395178,1.0412339728845352,4.731558817580248,39,7,1:0.21:0.12,3804,4496.497231958115,9.064278148615278,86.09579747856739,3.9025112349249365,3.04548131249149,1.1024160778711303
8693083,2020-01-08 12:23:21,Porter,Bottles,Koramangala,14,17.96187046430046,5.420854118505639,1.052740511559833,5.124500277648028,47,18,1:0.39:0.29,4226,6439.140946745437,7.304166777973949,89.84774022026421,3.61249018094828,1.256452933899669,4.904652929866527
8757833,2020-01-08 15:31:45,Porter,Kegs,Marathahalli,14,17.777987124218626,4.763473732865479,1.0591236184374513,5.811011479264476,22,17,1:0.35:0.17,1899,14508.693830330485,8.369986277589426,78.58478505415812,2.0141921232354973,2.0786041751106277,1.463538290619232
7555947,2020-01-08 15:34:08,Ale,Pints,Rajajinagar,17,23.8004322355116,5.4395897089053316,1.042415629147759,5.081524182652159,27,8,1:0.28:0.24,2834,7644.466446736296,9.290795281490517,75.47868561705167,1.3292785225911903,3.426862891187586,4.3401396057521
7403050,2020-01-08 22:35:04,Stout,Pints,Yelahanka,18,20.228221749657767,5.112273702331773,1.0728005437767345,5.878082351928136,24,10,1:0.25:0.20,2750,11212.991877919923,9.518346682853778,71.94719784787652,1.1748765823176663,3.6149964113534567,2.3812893278421288
5198740,2020-01-09 00:31:14,Wheat Beer,Pints,HSR Layout,19,24.15879444459135,5.148301733024743,1.0465177052096468,5.6417518141564855,50,14,1:0.33:0.19,3973,4400.329830168146,7.327225934417431,86.91818130202995,4.1929720883668296,3.8190768074342585,2.6481567735037275
9890430,2020-01-09 00:36:39,Pilsner,Pints,Indiranagar,14,18.873089612345314,5.442163353165482,1.0636324852047223,5.303193964301288,21,9,1:0.37:0.14,4484,1027.8370776941797,8.191831391415992,75.31363801050047,2.610894818230672,1.8724042534077383,2.0063678615008596
2685323,2020-01-09 03:25:45,Porter,Pints,Koramangala,13,18.81078101106361,5.491123446331881,1.0702266815536912,5.37531577940073,20,13,1:0.39:0.19,1755,11710.049751734774,6.041126174530916,72.82583395549851,4.693702448272449,4.99776692679308,3.4945667912087544
9541773,2020-01-09 03:36:41,Stout,Bottles,Rajajinagar,12,15.771205709729895,5.198806963948101,1.045244927300838,4.883578696011509,37,14,1:0.33:0.15,1600,17295.318604543987,6.100093575581633,70.32013726447774,3.0883420083862902,2.808218828267825,4.529644541062094
7216843,2020-01-09 13:28:15,Porter,Cans,Whitefield,17,22.592113645368514,4.668955420924567,1.0671930196067658,5.8836199531981626,51,7,1:0.26:0.26,3859,5701.127262898363,9.177430275006602,73.43399206616168,2.8782438437407087,4.213629632983276,2.154724740313644
4252449,2020-01-09 15:48:03,Stout,Pints,Indiranagar,15,18.07243110699769,5.095975980670449,1.0487968856242247,5.92025385041247,43,11,1:0.26:0.23,1753,15261.717261244743,6.942530510059919,70.7786645085715,4.421007541500182,2.983676825843178,4.360166186706616
803354,2020-01-09 17:03:47,Stout,Pints,HSR Layout,15,20.24990247804356,5.461790403934276,1.0602218000662678,5.793850317612394,35,15,1:0.36:0.14,3752,2668.940727869368,6.677292892875407,75.29079557310882,1.4659342631754009,1.061353502710122,3.164388475109321
7804103,2020-01-09 17:09:25,Sour,Kegs,Yelahanka,13,15.789780009075956,4.5664935583846304,1.03649403943058,4.619784063273195,56,5,1:0.32:0.16,2283,10958.73186321026,6.237965384447861,77.35165393206132,2.351389725043322,4.9018385819282155,4.8868286391107265
8175869,2020-01-09 18:17:56,IPA,Cans,Jayanagar,12,18.6924827482956,5.435561399074862,1.035942367157146,5.2414923673905065,42,13,1:0.46:0.16,2014,8130.691172228066,6.966251210027419,77.2806381601221,4.828743779951328,1.8047862382834503,1.6212028446455262
3348520,2020-01-09 20:13:58,Wheat Beer,Pints,Koramangala,14,21.063925364829668,5.121135846036786,1.0625766960202119,4.722390210470015,27,5,1:0.31:0.29,3579,8489.806848377235,6.5925460708496875,85.41354825200703,3.236439552948796,3.870070163888423,2.721993076538042
8059340,2020-01-10 01:37:15,IPA,Bottles,Koramangala,18,20.373726451947462,5.040735184022995,1.0724617965644303,5.421181259380649,21,12,1:0.39:0.15,2691,2787.5558250472404,9.279575387559024,87.41856604337343,4.958262262950626,4.976503836841009,2.142646508961635
3575669,2020-01-10 12:33:49,Sour,Kegs,Malleswaram,12,18.399387427067843,5.355636404885819,1.0606908394330683,5.065549819856916,41,9,1:0.23:0.23,1749,3934.615855489679,8.069909187612732,87.0979634204171,3.0508014762834748,1.7044582149723841,1.2309096877098815
2157407,2020-01-10 13:46:55,Stout,Bottles,Whitefield,14,22.642184388707765,4.959621051694953,1.0626939074544675,4.711413677512529,34,16,1:0.23:0.20,1390,7037.268630024123,6.12688701800459,75.88850277447816,4.38430789307861,2.9844397596722447,1.538236201463541
7640675,2020-01-10 15:56:16,Ale,Kegs,Marathahalli,19,17.82545910872697,5.402816404171253,1.042301697630096,4.960935486597472,50,6,1:0.25:0.20,589,8199.90242054829,7.411461933239282,74.93320099057793,4.604490295465914,3.014457935012863,2.4537028263411895
8107635,2020-01-10 17:16:09,Ale,Kegs,Marathahalli,11,17.705186820440627,4.750410118695627,1.0736033363216477,5.914160647886458,24,16,1:0.49:0.21,3987,16654.830853641855,7.867777924173717,74.24789246158409,1.754520578675527,4.948593957384409,1.5384879722267097
2323616,2020-01-11 00:43:48,Pilsner,Bottles,Rajajinagar,10,24.05276956033311,4.903561892299904,1.0308769712579806,4.762875392555332,55,19,1:0.35:0.20,1618,3760.2251316713914,7.99441417243351,75.9979939552233,4.038404113562301,2.544731394845765,4.352900010581161
8109368,2020-01-11 05:16:26,Porter,Cans,Jayanagar,10,22.82197440389077,4.519435053508999,1.073239865839045,4.851436699742024,58,19,1:0.29:0.15,597,5334.014640125497,7.382168005361985,87.42782746220703,4.560652368524146,2.8860688738568236,3.9577921075104725
5496588,2020-01-11 05:44:36,Ale,Bottles,Rajajinagar,10,22.18629008230156,4.9828594343279935,1.058811707184221,5.091532123124529,59,10,1:0.38:0.27,4364,17885.241801564654,6.227558258127821,86.36073938330561,3.3393531590819094,4.613977679286988,2.6425258002410503
3484347,2020-01-11 08:06:47,Ale,Pints,Marathahalli,17,19.54982207296171,4.962188949464814,1.068633111711448,5.188267295849922,21,8,1:0.46:0.27,2720,14147.847694630042,9.206460377166554,73.0282295919012,2.784924114462234,4.125581352695654,2.0402954956135186
7020839,2020-01-11 08:16:05,Lager,Bottles,Whitefield,16,16.329106080102505,4.722307660145842,1.0459052286661499,5.628216078505053,22,12,1:0.27:0.26,2548,15791.079211896204,6.2359735923199295,88.25559317616009,2.8286489033880846,4.590337442803353,4.552342196384196
2658797,2020-01-11 09:05:18,Porter,Pints,Indiranagar,19,24.386698496408712,5.465823819092376,1.059169117742996,5.595079895235007,53,11,1:0.49:0.10,2598,11139.279872144467,9.48686839306873,74.70936983812572,4.655908864149332,1.4661544519489351,3.00615552281876
4325943,2020-01-11 10:40:47,Pilsner,Cans,Rajajinagar,18,18.544482256043537,4.798612017216557,1.0775478895137243,5.064166176370927,48,14,1:0.21:0.16,4758,3168.1530417996746,6.184874459907443,88.6957738239839,4.589843898211614,4.947989952298265,2.016947934226674
3505959,2020-01-11 12:20:50,Stout,Cans,Whitefield,17,20.6646807830668,5.113309388100855,1.0582925331264743,5.5390592162877565,24,11,1:0.23:0.14,3569,1460.6153715194866,9.789238061799635,72.32495917460552,2.0371482539854906,3.1417281768703784,3.777904337763977
8013901,2020-01-11 13:38:27,Lager,Cans,Yelahanka,16,22.60192033339673,4.532790465339029,1.0756820193856584,5.708648607257503,59,6,1:0.38:0.26,4056,14429.427918157171,6.4973395280535975,77.26180022099064,2.136157107914321,3.262248100133495,1.472723439774597
3360293,2020-01-11 17:40:04,Sour,Pints,HSR Layout,13,22.84015779594183,4.945868665420212,1.0654539014157876,5.8844032064321725,36,9,1:0.25:0.10,4252,3601.943889166728,6.018071027882941,79.15586873948364,2.3123052027375177,3.4347499726265673,4.640001605060302
8488553,2020-01-11 20:55:35,Stout,Cans,Marathahalli,17,23.796748824613573,5.262290825223607,1.038516536699228,5.625996780902026,36,6,1:0.48:0.26,1886,7642.336094152635,6.434958023423558,85.92306045809406,1.9213972264250239,3.612659480049911,2.5307340634363924
4828577,2020-01-12 11:19:11,Ale,Pints,Marathahalli,17,17.21614852839023,4.806400620525565,1.0502561403687964,4.984143795885979,40,5,1:0.21:0.26,2100,3506.417124175063,8.145307804896156,87.12480307419753,3.3198002071685453,2.9214541454209515,1.6438526696447688
2588550,2020-01-12 18:15:18,Ale,Bottles,Electronic City,15,16.49675765044772,5.1450969926532935,1.056902454870581,4.803848543270275,32,5,1:0.40:0.23,2006,13379.579583109537,6.2917487046505425,87.48276035342234,3.3495956565700156,3.5663324997428574,2.4097934363434965
5706045,2020-01-13 03:09:55,Sour,Pints,Electronic City,15,22.886556307898495,5.315701422499142,1.0326437750098876,5.321255092574787,50,9,1:0.24:0.21,1422,11544.841986653617,6.684390277411496,86.05524744454146,2.68968264567343,2.7397662240388696,3.273773262792685
6545297,2020-01-13 11:43:01,Stout,Cans,Marathahalli,14,23.399675834309825,4.96271627062638,1.0395721924268877,5.008737200691542,33,19,1:0.22:0.15,4964,6186.593022024806,7.068142659599358,73.95010330790528,1.0680673142680601,3.9260334544459297,4.403000253797623
1465637,2020-01-13 22:05:42,Stout,Bottles,Koramangala,16,16.263737088810306,4.569875590929254,1.0453423987741504,5.106066885925448,41,5,1:0.23:0.23,2485,9488.2629994052,9.45033143194961,89.04563464580222,4.652925706361927,3.0660271239060384,4.569372142949199
7850142,2020-01-14 01:56:11,Stout,Pints,Jayanagar,17,17.55588470951499,5.122047017229476,1.074660962362315,5.794652128711368,21,9,1:0.49:0.28,1794,11868.71906127215,7.502040621074596,89.36818378082612,2.749363190217316,2.3009863651134883,4.668912480794436
5581995,2020-01-14 03:40:04,IPA,Cans,Indiranagar,18,21.27200453341655,4.746274719178598,1.0435303699656973,5.579187559895882,27,17,1:0.49:0.24,2566,3789.487366502647,6.069187648421279,79.0301117577512,3.4250078468531275,2.791197749353698,3.282433922026185
4346642,2020-01-14 07:50:22,Ale,Pints,Indiranagar,19,23.581800043252855,4.990354863350199,1.0321794181460102,5.9492597542586125,41,11,1:0.47:0.30,2891,8231.840090038957,6.5509770675581604,74.0287225437308,1.5498894437954913,3.1404027947072923,1.6269022782032385
4255242,2020-01-14 14:04:48,Sour,Cans,Whitefield,14,23.131815064938245,5.071037012868653,1.0555846054129234,4.774946124426941,55,18,1:0.26:0.13,2922,5765.312751260702,8.897721094926881,88.26656624467752,4.3520416152303625,1.8080402230273913,3.2165479979284437
8726090,2020-01-14 15:11:09,Pilsner,Kegs,HSR Layout,19,20.617289692893753,5.182904110698719,1.0661828353098344,4.979409806877499,42,14,1:0.35:0.13,2178,15447.988667676704,9.166124310324303,74.49176831570342,1.5380599898834744,3.732255328784089,2.325829264164059
9677600,2020-01-14 15:13:35,Pilsner,Kegs,Koramangala,10,18.355236595518264,4.668555511818398,1.073183281134615,5.500696819351183,30,15,1:0.34:0.22,3002,1904.6091326772346,8.930144968939501,82.36728240061998,3.051017800555335,4.1755707613055115,3.7808957469571958
8672502,2020-01-14 17:29:30,Stout,Kegs,Koramangala,10,16.190653777297033,4.994500728308611,1.032469143570952,4.510485375916328,20,10,1:0.38:0.28,4171,6630.606379034924,6.4264245553963635,82.27135237010265,3.228813617003951,3.1368658649776426,2.723422974281672
282374,2020-01-15 04:49:22,Stout,Cans,HSR Layout,17,21.755330403159405,4.789281088637348,1.0755163676145774,5.686229417798114,31,5,1:0.32:0.28,4176,7586.840850610285,6.312243299518135,88.4578604854992,2.9363882318225856,4.575567869887619,4.850771728319421
2126388,2020-01-15 04:50:58,Sour,Cans,HSR Layout,14,24.95218768953262,4.9116702660775955,1.0317906667376247,4.942585211507461,38,6,1:0.34:0.14,1599,16880.999968671684,6.7099359159602745,74.67202324040211,4.019571549612872,4.056196486211464,4.34856434245445
664421,2020-01-15 11:36:16,Porter,Pints,Whitefield,11,24.642477339903024,4.68212915901246,1.0334747934436839,5.568727332410221,30,19,1:0.27:0.15,1590,16199.720988951933,6.044308633751832,88.39526735295149,3.5125827173862754,4.199362452996844,3.3700034775402683
2731996,2020-01-15 17:34:25,Sour,Pints,Marathahalli,13,15.544678323251661,4.975855861410512,1.0614483928943288,5.561233525777739,59,17,1:0.46:0.20,4580,18476.34970318714,7.791387420986059,89.73032292759174,3.309402239490567,1.8443187416866138,2.5038972662768306
6285064,2020-01-16 01:45:06,IPA,Kegs,Yelahanka,16,22.57802927402281,4.728439148627422,1.0771862274683046,5.149996252808079,39,10,1:0.36:0.17,4810,12720.142487791129,6.262464755113445,72.50858806948048,3.4414883630743787,4.8277785982882335,1.203962316285855
1332673,2020-01-16 04:09:23,Stout,Bottles,Electronic City,14,15.534928529068386,4.507674958875584,1.030006471173814,5.518547185068437,42,18,1:0.28:0.22,880,1727.4363760364158,7.0387935093401675,70.793922365439,1.5304328469787811,4.261520262193453,1.068176674658615
9121805,2020-01-16 13:45:16,Lager,Cans,Indiranagar,11,20.863548669063217,4.898254437216869,1.0587089000537129,5.731232629581051,25,11,1:0.33:0.23,2935,1260.7790194767656,7.902992052296951,73.82054847679645,1.7133594658826787,2.7901730684158337,3.7962164207294946
810117,2020-01-16 19:49:15,IPA,Bottles,Electronic City,15,21.289943250639144,5.429221830677173,1.0654472144651557,4.538003135469818,38,9,1:0.49:0.15,2243,12005.15809711843,6.973221530841583,73.07013294827745,2.4411190121727007,4.696881133142056,2.1360346029319417
4133385,2020-01-16 21:08:15,Wheat Beer,Bottles,Koramangala,16,21.360799849090036,5.2853955431312345,1.0773693800278819,5.561032281700178,23,19,1:0.43:0.15,801,16275.597817366606,8.232800537134843,89.11444248292685,1.8826569994510427,1.1418788674616964,4.723380258470685
